timestamp_ms,power_W
1759963513948,9.90
1759963515026,14.07
1759963516095,25.71
1759963517125,42.74
1759963518177,22.67
1759963519216,11.08
1759963520261,15.56
1759963521336,15.26
1759963522415,12.35
1759963523468,9.08
1759963524512,11.89
1759963525588,10.79
1759963526655,21.97
1759963527735,43.43
1759963528794,29.77
1759963529858,19.14
1759963530924,12.05
1759963531988,14.76
1759963533046,15.35
1759963534120,17.63
1759963535158,12.52
1759963536224,10.86
1759963537288,11.66
1759963538336,16.91
1759963539385,17.09
1759963540482,16.20
1759963541540,17.79
1759963542615,11.09
1759963543682,9.43
1759963544748,8.79
1759963545793,11.03
1759963546862,11.70
1759963547934,9.37
1759963549008,15.56
1759963550103,13.53
1759963551154,18.35
1759963552222,17.62
1759963553304,10.47
1759963554370,16.17
1759963555470,16.32
1759963556535,13.15
1759963557607,17.06
1759963558695,12.48
1759963559764,11.98
1759963560826,11.61
1759963561872,9.71
1759963562920,13.30
1759963564018,15.93
1759963565088,11.88
1759963566161,8.89
1759963567204,8.67
1759963568246,10.14
1759963569314,12.52
1759963570385,9.53
1759963571461,10.50
1759963572503,8.69
1759963573545,8.21
1759963574589,10.42
1759963575657,11.76
1759963576730,10.09
1759963577783,13.00
1759963578858,11.26
1759963579904,9.41
1759963580950,8.22
1759963581992,9.35
1759963583061,8.99
1759963584137,13.78
1759963585194,9.36
1759963586238,9.98
1759963587283,11.22
1759963588356,9.86
1759963589421,9.38
1759963590464,10.28
1759963591532,8.69
1759963592601,8.71
1759963593644,12.31
1759963594699,10.84
1759963595832,40.53
1759963596875,42.65
1759963597922,17.37
1759963598996,17.08
1759963600063,9.40
1759963601140,14.82
1759963602217,10.53
1759963603260,9.11
1759963604305,8.92
1759963605351,9.34
1759963606422,12.80
1759963607501,13.68
1759963608573,13.06
1759963609639,14.57
1759963610709,9.51
1759963611756,9.17
1759963612801,8.82
1759963613846,8.87
1759963614890,8.58
1759963615935,9.37
1759963616981,10.08
1759963618027,8.67
1759963619072,8.73
1759963620120,11.44
1759963621189,15.39
1759963622256,16.98
1759963623326,14.28
1759963624393,10.59
1759963625465,9.90
1759963626533,15.09
1759963627600,12.62
1759963628655,17.23
1759963629730,15.27
1759963630807,11.80
1759963631867,17.21
1759963632936,15.75
1759963634006,13.61
1759963635079,14.30
1759963636136,36.01
1759963637167,43.53
1759963638198,29.63
1759963639230,11.91
1759963640261,11.03
1759963641299,9.07
1759963642342,9.06
1759963643380,9.17
1759963644418,9.20
1759963645456,9.18
1759963646493,9.09
1759963647531,9.09
1759963648570,9.38
1759963649610,9.42
1759963650650,9.20
1759963651689,8.96
1759963652729,9.73
1759963653772,9.55
1759963654810,9.01
1759963655848,9.01
1759963656886,8.92
1759963657925,9.13
1759963658963,9.05
1759963660001,9.08
1759963661040,9.52
1759963662079,9.28
1759963663119,9.19
1759963664156,9.17
1759963665194,9.26
1759963666232,9.29
1759963667271,9.14
1759963668308,11.17
1759963669370,17.16
1759963670421,10.48
1759963671471,14.40
1759963672519,11.51
1759963673556,9.75
1759963674605,12.47
1759963675642,12.42
1759963676683,9.04
1759963677721,10.40
1759963678772,11.69
1759963679812,11.96
1759963680853,13.44
1759963681906,10.42
1759963682944,12.84
1759963683984,13.33
1759963685022,16.27
1759963686058,14.33
1759963687107,17.65
1759963688157,14.99
1759963689199,11.47
1759963690239,10.39
1759963691286,10.25
1759963692324,10.07
1759963693361,11.47
1759963694399,11.19
1759963695451,15.93
1759963696493,14.80
1759963697566,16.16
1759963698606,11.15
1759963699658,12.38
1759963700696,10.85
1759963701742,9.88
1759963702783,10.57
1759963703821,9.70
1759963704860,9.96
1759963705897,10.42
1759963706936,11.20
1759963707978,11.93
1759963709017,10.59
1759963710055,12.00
1759963711094,10.43
1759963712133,11.17
1759963713174,10.43
1759963714214,10.19
1759963715254,8.83
1759963716291,10.98
1759963717345,10.32
1759963718382,10.14
1759963719421,16.46
1759963720466,12.38
1759963721521,16.33
1759963722555,12.48
1759963723593,10.99
1759963724651,11.61
1759963725690,9.67
1759963726736,9.80
1759963727774,10.25
1759963728813,8.91
1759963729855,9.27
1759963730893,9.14
1759963731931,9.15
1759963732969,9.22
1759963734006,9.64
1759963735050,9.60
1759963736089,9.20
1759963737126,9.01
1759963738164,9.23
1759963739203,9.14
1759963740241,9.06
1759963741278,9.05
1759963742315,9.20
1759963743364,10.06
1759963744404,9.33
1759963745442,9.10
1759963746480,9.28
1759963747517,9.11
1759963748558,9.26
1759963749595,9.05
1759963750633,8.98
1759963751671,9.95
